promotion_key,promotion_code,promotion_name,promotion_type,promotion_category,promotion_description,discount_percent,discount_amount,maximum_discount_amount,cashback_amount,cashback_percent,is_free_shipping,free_shipping_limit_amount,min_purchase_amount,min_quantity_required,is_stackable,target_customer_type,eligible_store_type,eligible_channel,eligible_payment_method,eligible_product_category,start_date,end_date,start_time,end_time,valid_days_of_week,valid_hours_range,is_active,promo_owner_department,is_supplier_funded,budget_amount,budget_remaining,kpi_target,effective_start_date,effective_end_date,is_current_record,version_number
1,PRM_JSM_2010_001,JSM Groceries Hemat,percent,price_off,Promo JSM potongan harga akhir pekan untuk kebutuhan harian kategori groceries.,10.00,0.00,50000.00,0.00,0.00,false,0.00,100000.00,0,false,all,store,store,ALL,Groceries,2010-03-05,2010-03-07,00:00:00,23:59:59,"FRI,SAT,SUN",00:00-23:59,false,trade_marketing,false,75000000.00,0.00,120000000.00,2010-03-05,9999-12-31,true,1
2,PRM_JSM_2013_002,JSM Mie dan Snack,percent,price_off,Promo JSM diskon khusus produk mie instan dan snack kemasan.,15.00,0.00,40000.00,0.00,0.00,false,0.00,75000.00,0,false,all,store,store,ALL,"Mie Instan,Snack Ringan",2013-06-07,2013-06-09,00:00:00,23:59:59,"FRI,SAT,SUN",00:00-23:59,false,trade_marketing,true,60000000.00,0.00,90000000.00,2013-06-07,9999-12-31,true,1
3,PRM_PAYDAY_2018_001,Payday Promo Gajian,percent,price_off,Promo gajian potongan harga semua produk groceries dan home care.,20.00,0.00,75000.00,0.00,0.00,false,0.00,200000.00,0,false,all,store,store,"CASH,DEBIT,CREDIT","Groceries,Home Care",2018-01-25,2018-01-31,08:00:00,23:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-23:00,false,marketing,false,150000000.00,0.00,250000000.00,2018-01-25,9999-12-31,true,1
4,PRM_TEBUS_2019_001,Tebus Murah Susu Anak,amount,price_off,Program tebus murah susu pertumbuhan setelah belanja minimum tertentu.,0.00,10000.00,0.00,0.00,0.00,false,0.00,75000.00,1,false,member,store,store,ALL,Susu dan Olahan,2019-04-01,2019-04-30,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,90000000.00,0.00,130000000.00,2019-04-01,9999-12-31,true,1
5,PRM_BUNDLE_2017_001,Bundle Mie Instan 5 Lebih Hemat,bundle,price_off,Promo bundle beli 5 mie instan mix brand dengan harga khusus.,0.00,5000.00,0.00,0.00,0.00,false,0.00,0.00,5,false,all,store,store,ALL,Mie Instan,2017-02-01,2017-03-15,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,50000000.00,0.00,80000000.00,2017-02-01,9999-12-31,true,1
6,PRM_SERBA10K_2016_001,Serba 10000 Snack Favorit,amount,price_off,Promo serba sepuluh ribu untuk produk snack pilihan ukuran reguler.,0.00,2500.00,0.00,0.00,0.00,false,0.00,0.00,2,false,all,store,store,ALL,Snack Ringan,2016-08-01,2016-08-31,08:00:00,22:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-22:00,false,trade_marketing,true,45000000.00,0.00,70000000.00,2016-08-01,9999-12-31,true,1
7,PRM_OVO_WKND_2020_001,Cashback OVO Weekend,cashback,loyalty,Cashback saldo OVO untuk transaksi akhir pekan di toko.,0.00,0.00,0.00,15000.00,10.00,false,0.00,100000.00,0,false,member,store,store,OVO,All Category,2020-02-01,2020-02-29,08:00:00,23:00:00,"FRI,SAT,SUN",08:00-23:00,false,marketing,true,120000000.00,0.00,200000000.00,2020-02-01,9999-12-31,true,1
8,PRM_DANA_PAYDAY_2021_001,Cashback DANA Payday,cashback,loyalty,Program cashback DANA setiap periode gajian untuk transaksi di toko dan aplikasi.,0.00,0.00,0.00,20000.00,15.00,false,0.00,150000.00,0,true,member,store,store,DANA,All Category,2021-01-25,2021-01-31,08:00:00,23:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",08:00-23:00,false,marketing,true,180000000.00,0.00,260000000.00,2021-01-25,9999-12-31,true,1
9,PRM_APP_LAUNCH_2020_001,Free Shipping App Launch,amount,voucher,Gratis ongkir untuk pengguna baru aplikasi pada periode peluncuran.,0.00,0.00,0.00,0.00,0.00,true,20000.00,50000.00,0,false,new_user,online_only,app,ALL,All Category,2020-07-01,2020-07-31,09:00:00,21:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",09:00-21:00,false,marketing,false,60000000.00,0.00,90000000.00,2020-07-01,9999-12-31,true,1
10,PRM_FREESHIP_2022_001,Free Shipping Above 100K,amount,voucher,Gratis ongkir untuk transaksi online di atas seratus ribu rupiah.,0.00,0.00,0.00,0.00,0.00,true,100000.00,0.00,0,true,all,online_only,app,ALL,All Category,2022-03-01,2022-12-31,09:00:00,21:00:00,"MON,TUE,WED,THU,FRI,SAT,SUN",09:00-21:00,false,marketing,false,200000000.00,0.00,300000000.00,2022-03-01,9999-12-31,true,1
