supplier_key,supplier_code,supplier_name,supplier_short_name,supplier_type,business_model,ownership_type,address_line1,address_line2,city,district,province,postal_code,country,phone_number,email,website,primary_contact_person,primary_contact_phone,primary_contact_email,delivery_lead_time_days,max_lead_time_days,delivery_method_default,delivery_frequency,delivery_cutoff_time,warehouse_location,supply_region,product_categories_supplied,brand_owned_flag,exclusive_supplier_flag,halal_certified_supplier,supplier_rating,quality_score,on_time_delivery_rate,defective_rate_percent,dispute_count,risk_level,compliance_status,payment_terms,contract_start_date,contract_end_date,minimum_order_quantity,return_policy_description,credit_limit_amount,effective_start_date,effective_end_date,is_current_record,version_number
1,SUP-0001,PT Indofood Sukses Makmur Tbk,Indofood,principal,buy_out,multinational,Jl. Sudirman Kav 58,Gedung Indofood Lantai 10,Jakarta Selatan,Setiabudi,DKI Jakarta,12910,Indonesia,021-5701234,contact@indofood.co.id,https://www.indofood.co.id,Rizky Pratama,0812-8000-0001,rizky.pratama@indofood.co.id,3,5,Vendor Delivery,mingguan,14:00:00,Gudang Indofood Cibitung,Jawa Barat,"mie instan, makanan kemasan, bumbu masak",false,false,true,92.50,93.20,96.50,0.80,3,low,compliant,Net 30,2010-01-01,2028-12-31,100,Retur produk cacat maksimum 2 persen per invoice dalam 14 hari,5000000000.00,2010-01-01,9999-12-31,true,1
2,SUP-0002,PT Unilever Indonesia Tbk,Unilever,principal,buy_out,multinational,Jl. BSD Boulevard Barat,Green Office Park 2,Tangerang Selatan,Serpong,Banten,15345,Indonesia,021-80820000,cs@unilever.co.id,https://www.unilever.co.id,Dewi Handayani,0812-8000-0002,dewi.handayani@unilever.co.id,2,4,Vendor Delivery,mingguan,13:00:00,DC Unilever Cikarang,Jawa Barat,"home care, personal care, food",false,false,true,94.00,94.50,97.20,0.60,2,low,compliant,Net 30,2010-01-01,2027-04-30,120,Retur produk rusak di gudang maksimal 1 persen dari volume bulanan,7000000000.00,2010-01-01,9999-12-31,true,1
3,SUP-0003,PT Mayora Indah Tbk,Mayora,principal,buy_out,multinational,Jl. Tomang Raya No. 21,Komp. Mayora Center,Jakarta Barat,Grogol Petamburan,DKI Jakarta,11440,Indonesia,021-5671234,info@mayora.co.id,https://www.mayoraindah.co.id,Yudi Kurniawan,0812-8000-0003,yudi.kurniawan@mayora.co.id,4,6,Vendor Delivery,dua_mingguan,15:00:00,Gudang Mayora Tangerang,Banten,"biskuit, wafer, permen, kopi sachet",false,false,true,91.80,92.30,95.00,1.20,5,low,compliant,Net 30,2010-01-01,2029-02-28,80,Retur produk kedaluwarsa sesuai perjanjian promosi dan listing,3500000000.00,2010-01-01,9999-12-31,true,1
4,SUP-0004,PT Wings Surya,Wings,principal,buy_out,local_private,Jl. Embong Malang No. 21,Kawasan Niaga Wings,Surabaya,Genteng,Jawa Timur,60261,Indonesia,031-5315555,cs@wings.co.id,https://www.wingscorp.com,Anton Wijaya,0812-8000-0004,anton.wijaya@wings.co.id,3,5,Vendor Delivery,mingguan,14:30:00,Gudang Wings Pandaan,Jawa Timur,"detergen, sabun mandi, pembersih lantai",false,false,true,90.40,91.10,94.80,1.50,8,medium,compliant,Net 21,2010-01-01,2030-12-31,90,Retur produk rusak di toko maksimal 1.5 persen dari sales per bulan,3000000000.00,2010-01-01,9999-12-31,true,1
5,SUP-0005,PT Nestle Indonesia,Nestle,principal,buy_out,multinational,"Jl. Raya Bogor Km 26,6",Kawasan Industri Nestle,Jakarta Timur,Ciracas,DKI Jakarta,13740,Indonesia,021-8405000,contact@id.nestle.com,https://www.nestle.co.id,Maria Sari,0812-8000-0005,maria.sari@nestle.com,3,5,Vendor Delivery,mingguan,13:30:00,DC Nestle Karawang,Jawa Barat,"susu bubuk, minuman serbuk, makanan bayi",false,false,true,93.10,93.70,96.90,0.70,2,low,compliant,Net 30,2010-01-01,2026-03-31,60,Retur produk khusus defect pabrik dengan berita acara resmi,4000000000.00,2010-01-01,9999-12-31,true,1
6,SUP-0006,PT Garudafood Putra Putri Jaya Tbk,Garudafood,principal,buy_out,local_private,Jl. Langsat Arteri No. 9,Kawasan Industri Delta,Bekasi,Cikarang Barat,Jawa Barat,17520,Indonesia,021-29580000,info@garudafood.co.id,https://www.garudafood.com,Bambang Setiawan,0812-8000-0006,bambang.setiawan@garudafood.co.id,4,6,Vendor Delivery,dua_mingguan,15:30:00,Gudang Garudafood Bekasi,Jawa Barat,"snack kacang, biskuit, minuman serbuk",false,false,true,89.70,90.50,94.20,1.80,10,medium,compliant,Net 21,2010-01-01,2028-06-30,75,Retur produk rusak karena pengiriman ditanggung supplier,2500000000.00,2010-01-01,9999-12-31,true,1
7,SUP-0007,PT Kalbe Farma Tbk,Kalbe,principal,buy_out,multinational,Jl. Letjen Suprapto Kav 4,Kawasan Industri Kalbe,Jakarta Pusat,Cempaka Putih,DKI Jakarta,10510,Indonesia,021-42888888,info@kalbe.co.id,https://www.kalbe.co.id,Arif Hidayat,0812-8000-0007,arif.hidayat@kalbe.co.id,2,4,Vendor Delivery,mingguan,11:00:00,Gudang Kalbe Cikarang,Jawa Barat,"suplemen, vitamin, produk kesehatan OTC",false,false,true,95.00,95.50,98.20,0.40,1,low,compliant,Net 30,2010-01-01,2025-01-31,50,Retur sesuai regulasi BPOM dan kesepakatan tertulis,4500000000.00,2010-01-01,9999-12-31,true,1
8,SUP-0008,PT Sido Muncul Tbk,Sido Muncul,principal,buy_out,local_private,Jl. Raya Ungaran Km 19,Pabrik Sido Muncul,Semarang,Bawen,Jawa Tengah,50661,Indonesia,024-6921234,cs@sidomuncul.co.id,https://www.sidomuncul.co.id,Nurul Andini,0812-8000-0008,nurul.andini@sidomuncul.co.id,5,7,Vendor Delivery,dua_mingguan,16:00:00,Gudang Sido Muncul Semarang,Jawa Tengah,"jamu, suplemen herbal, minuman kesehatan",false,false,true,90.90,91.60,95.30,1.10,4,low,compliant,Net 21,2010-01-01,2029-12-31,40,Retur produk mismatch batch dilakukan per nota retur,1800000000.00,2010-01-01,9999-12-31,true,1
9,SUP-0009,PT Ultra Jaya Milk Industry Tbk,Ultra Jaya,principal,buy_out,local_private,Jl. Raya Cimareme No. 131,Kawasan Industri Padalarang,Bandung,Padalarang,Jawa Barat,40553,Indonesia,022-6865000,info@ultrajaya.co.id,https://www.ultrajaya.co.id,Hendra Lesmana,0812-8000-0009,hendra.lesmana@ultrajaya.co.id,3,5,Vendor Delivery,mingguan,10:30:00,DC Ultra Jaya Padalarang,Jawa Barat,"susu UHT, minuman kotak, teh siap minum",false,false,true,92.00,92.80,96.00,0.90,3,low,compliant,Net 21,2010-01-01,2026-05-31,70,Retur produk rusak di cold chain dikoordinasi dengan tim QA,3200000000.00,2010-01-01,9999-12-31,true,1
10,SUP-0010,PT ABC Central Food,ABC Food,principal,buy_out,local_private,Jl. Industri Kemang No. 10,Kawasan Industri ABC,Bekasi,Tambun,Jawa Barat,17510,Indonesia,021-88330011,contact@abcfood.co.id,https://www.abcfood.co.id,Slamet Riyadi,0812-8000-0010,slamet.riyadi@abcfood.co.id,4,6,Vendor Delivery,dua_mingguan,15:00:00,Gudang ABC Bekasi,Jawa Barat,"saus, kecap, makanan kaleng",false,false,true,89.50,90.20,93.80,1.90,9,medium,compliant,Net 14,2010-01-01,2030-02-28,90,Retur produk kemasan bocor maksimal 2 persen dari volume kirim,2100000000.00,2010-01-01,9999-12-31,true,1
